,r1,r2,type
122,-4676.52391266,-2227.38799089,1
123,-3975.57534061,-1538.07063305,1
124,-3339.65363107,524.278842572,1
125,-3969.73965553,2460.85544999,1
126,267.963154813,-6066.138387,1
127,12635.6299266,25255.7781101,1
128,-2557.06774781,2416.20840125,1
129,-4900.9917798,1577.14873261,1
130,7402.46464804,-6084.11256478,1
131,-4286.88094387,1140.97495734,1
132,-1254.32903837,-341.753063333,1
133,-2193.21593379,3117.2039034,1
134,-6866.170376,-3339.15146844,1
135,4766.28705878,-4707.34564067,1
136,1323.55640383,14518.8909585,1
137,-1846.64944889,1870.25607448,1
138,-5923.18215019,-2430.04235637,1
139,-4731.10437645,-2096.4002885,1
140,2831.44470221,13875.5599568,1
141,-1833.90786545,3461.32862203,1
142,27599.6753169,-12242.4245735,1
143,3142.17603618,-9970.64315032,1
144,-1315.29868223,8140.80327349,1
145,3052.63885812,1315.06220315,1
146,-1271.05723716,2333.78521823,1
147,-2577.6014719,-1890.07344356,1
148,-2075.36451885,4367.2036495,1
149,-341.514992921,-4822.24800884,1
150,-5880.45777303,-1232.0829103,1
151,-4696.11529949,-1558.89637108,1
152,-4297.6415385,2099.97708875,1
153,-3959.83176408,1831.1004845,1
154,-2624.13392954,1478.4356706,1
0,-1257.75189863,10610.0171199,2
1,-3526.47249556,5489.54181585,2
2,-3153.55815579,5742.55655852,2
3,-5141.66668218,11039.2670231,2
4,-6043.10156686,11400.4675714,2
5,-1253.01101988,11546.4914792,2
6,-4639.20896623,3099.2553824,2
7,-4235.64783771,2902.42143489,2
8,-3913.21152709,3108.72569917,2
9,-4261.1157028,3437.98571992,2
10,-5067.08470023,9860.36822715,2
11,-2187.03510421,1039.50066273,2
12,-5528.83207069,7913.47253128,2
13,4732.74578681,4566.77704618,2
14,-2592.57993322,5811.25806198,2
15,-2729.79557152,2338.06813143,2
16,-3915.76147381,1909.20778503,2
17,-1748.95065216,10042.7307363,2
18,-2366.8553736,15574.9533785,2
19,-2883.68238018,11711.4050756,2
20,-4163.075557,2497.8796489,2
21,3115.87453749,1219.67535812,2
