,r1,r2,type
97,-2346.16372883,-1392.59371404,2
98,-3254.27703944,-2863.15527435,2
99,-3881.26099023,-1903.28727289,2
100,-1495.04187671,-159.043794774,2
101,-2763.2302699,-2190.27911072,2
102,-2921.3208608,-2550.62789041,2
103,-4830.75946543,5512.92233703,2
104,-315.101352006,2214.52353011,2
105,-1850.79181308,-474.044321457,2
106,-3605.36553713,-793.983769473,2
107,-5195.43615396,-1353.22356594,2
108,-1879.74390609,-3432.30308344,2
109,-2604.1067297,-2100.98200251,2
110,-3659.33509921,-2650.10260067,2
111,-7907.67079146,3232.01653894,2
112,-7058.84285153,2037.65295131,2
113,-5293.17181406,-920.137591105,2
114,-6998.68881071,-979.358404225,2
115,-875.387602249,-3186.55524729,2
116,-3629.8310599,-2111.20933539,2
117,-3975.24749083,-1567.68910503,2
118,-6711.05131687,-226.709631496,2
119,240.127623538,-3329.97845155,2
120,-5934.79736821,4861.5116473,2
121,-2011.57136283,-445.455059863,2
122,-2617.47521129,-2844.62978578,2
123,-7706.35144578,-720.713836711,2
124,-6282.50191398,-55.7260288609,2
125,-2297.57974864,-2674.42724495,2
126,-500.894435281,-1593.23029687,2
127,-1748.4288196,-2645.12309053,2
128,-5261.99006208,-1565.44909018,2
129,-2630.80961348,-953.792791806,2
130,-3432.34216878,3867.33463269,2
131,-3702.45646965,8156.15333551,2
132,-2772.89207271,8543.3814349,2
133,-3407.99780032,-1862.15912188,2
134,2465.70798855,8257.26249672,2
135,-337.049911172,10393.0590194,2
136,12266.0074228,18360.7886211,2
137,3863.09327128,15956.708481,2
138,11824.8697337,18693.108518,2
139,2750.32373186,7867.32581509,2
140,14196.4287711,9191.98736715,2
141,2629.24173904,12898.6227334,2
142,1566.09834089,11353.8800802,2
143,4428.53060756,14734.1470318,2
144,1138.70778011,13902.3567487,2
145,61.435512017,7838.00466202,2
146,7981.53138694,10789.9293057,2
147,-4388.82531032,10907.4173991,2
148,7190.03582568,19722.5150984,2
149,-1777.09221466,10035.1796216,2
150,30216.8417438,-1904.94381493,2
151,18184.0089794,7846.45555854,2
152,29399.4017713,-6928.01382623,2
153,44694.4053896,-10313.1528639,2
